,datetime,price
0,2022-01-21-20:00,161.62
1,2022-01-21-19:55,161.64
2,2022-01-21-19:50,161.68
3,2022-01-21-19:45,161.68
4,2022-01-21-19:40,161.65
5,2022-01-21-19:35,161.55
6,2022-01-21-19:30,161.64
7,2022-01-21-19:25,161.65
8,2022-01-21-19:20,161.6
9,2022-01-21-19:15,161.61
10,2022-01-21-19:10,161.63
11,2022-01-21-19:05,161.7
12,2022-01-21-19:00,161.77
13,2022-01-21-18:55,161.85
14,2022-01-21-18:50,161.81
15,2022-01-21-18:45,161.76
16,2022-01-21-18:40,161.76
17,2022-01-21-18:35,161.9
18,2022-01-21-18:30,161.98
19,2022-01-21-18:25,161.98
20,2022-01-21-18:20,161.95
21,2022-01-21-18:15,161.95
22,2022-01-21-18:10,162.0
23,2022-01-21-18:05,162.05
24,2022-01-21-18:00,162.14
25,2022-01-21-17:55,161.92
26,2022-01-21-17:50,161.9
27,2022-01-21-17:45,162.03
28,2022-01-21-17:40,162.11
29,2022-01-21-17:35,162.29
30,2022-01-21-17:30,162.36
31,2022-01-21-17:25,162.4
32,2022-01-21-17:20,162.47
33,2022-01-21-17:15,162.5
34,2022-01-21-17:10,162.44
35,2022-01-21-17:05,162.46
36,2022-01-21-17:00,162.45
37,2022-01-21-16:55,162.48
38,2022-01-21-16:50,162.48
39,2022-01-21-16:45,162.49
40,2022-01-21-16:40,162.5
41,2022-01-21-16:35,162.5
42,2022-01-21-16:30,162.49
43,2022-01-21-16:25,162.48
44,2022-01-21-16:20,162.5
45,2022-01-21-16:15,162.5
46,2022-01-21-16:10,162.43
47,2022-01-21-16:05,162.55
48,2022-01-21-16:00,162.41
49,2022-01-21-15:55,162.6399
50,2022-01-21-15:50,163.18
51,2022-01-21-15:45,163.18
52,2022-01-21-15:40,163.16
53,2022-01-21-15:35,163.06
54,2022-01-21-15:30,162.86
55,2022-01-21-15:25,162.99
56,2022-01-21-15:20,163.12
57,2022-01-21-15:15,162.89
58,2022-01-21-15:10,162.53
59,2022-01-21-15:05,162.88
60,2022-01-21-15:00,163.11
61,2022-01-21-14:55,163.4727
62,2022-01-21-14:50,163.7283
63,2022-01-21-14:45,163.51
64,2022-01-21-14:40,163.7
65,2022-01-21-14:35,163.38
66,2022-01-21-14:30,163.37
67,2022-01-21-14:25,164.23
68,2022-01-21-14:20,163.91
69,2022-01-21-14:15,163.996
70,2022-01-21-14:10,164.0
71,2022-01-21-14:05,164.08
72,2022-01-21-14:00,163.765
73,2022-01-21-13:55,164.28
74,2022-01-21-13:50,164.24
75,2022-01-21-13:45,164.16
76,2022-01-21-13:40,164.25
77,2022-01-21-13:35,163.73
78,2022-01-21-13:30,163.75
79,2022-01-21-13:25,163.44
80,2022-01-21-13:20,164.16
81,2022-01-21-13:15,164.625
82,2022-01-21-13:10,164.025
83,2022-01-21-13:05,164.01
