,datetime,price
0,2022-01-21-19:50,129.3
1,2022-01-21-19:35,129.12
2,2022-01-21-19:15,129.38
3,2022-01-21-18:20,129.06
4,2022-01-21-18:15,129.18
5,2022-01-21-17:55,129.4
6,2022-01-21-17:50,129.4
7,2022-01-21-17:25,129.4
8,2022-01-21-17:20,129.75
9,2022-01-21-17:15,129.45
10,2022-01-21-17:10,129.45
11,2022-01-21-17:05,129.45
12,2022-01-21-17:00,129.4
13,2022-01-21-16:35,129.4
14,2022-01-21-16:30,129.4
15,2022-01-21-16:25,129.45
16,2022-01-21-16:20,129.4
17,2022-01-21-16:15,129.18
18,2022-01-21-16:10,129.19
19,2022-01-21-16:05,129.35
20,2022-01-21-16:00,129.35
21,2022-01-21-15:55,129.52
22,2022-01-21-15:50,129.63
23,2022-01-21-15:45,129.55
24,2022-01-21-15:40,129.488
25,2022-01-21-15:35,129.445
26,2022-01-21-15:30,129.38
27,2022-01-21-15:25,129.715
28,2022-01-21-15:20,129.89
29,2022-01-21-15:15,129.69
30,2022-01-21-15:10,129.78
31,2022-01-21-15:05,129.91
32,2022-01-21-15:00,129.94
33,2022-01-21-14:55,130.06
34,2022-01-21-14:50,130.2
35,2022-01-21-14:45,130.145
36,2022-01-21-14:40,130.275
37,2022-01-21-14:35,130.28
38,2022-01-21-14:30,130.19
39,2022-01-21-14:25,130.51
40,2022-01-21-14:20,130.44
41,2022-01-21-14:15,130.43
42,2022-01-21-14:10,130.3691
43,2022-01-21-14:05,130.4968
44,2022-01-21-14:00,130.41
45,2022-01-21-13:55,130.62
46,2022-01-21-13:50,130.54
47,2022-01-21-13:45,130.475
48,2022-01-21-13:40,130.435
49,2022-01-21-13:35,130.5
50,2022-01-21-13:30,130.2705
51,2022-01-21-13:25,130.1799
52,2022-01-21-13:20,130.235
53,2022-01-21-13:15,130.585
54,2022-01-21-13:10,130.35
55,2022-01-21-13:05,130.545
56,2022-01-21-13:00,130.64
57,2022-01-21-12:55,130.68
58,2022-01-21-12:50,130.5462
59,2022-01-21-12:45,130.53
60,2022-01-21-12:40,130.54
61,2022-01-21-12:35,130.5363
62,2022-01-21-12:30,130.54
63,2022-01-21-12:25,130.54
64,2022-01-21-12:20,130.5115
65,2022-01-21-12:15,130.65
66,2022-01-21-12:10,130.78
67,2022-01-21-12:05,130.84
68,2022-01-21-12:00,131.04
69,2022-01-21-11:55,130.83
70,2022-01-21-11:50,131.03
71,2022-01-21-11:45,130.95
72,2022-01-21-11:40,131.07
73,2022-01-21-11:35,131.64
74,2022-01-21-11:30,131.55
75,2022-01-21-11:25,131.55
76,2022-01-21-11:20,131.51
77,2022-01-21-11:15,131.26
78,2022-01-21-11:10,131.54
79,2022-01-21-11:05,131.13
80,2022-01-21-11:00,131.3
81,2022-01-21-10:55,131.215
82,2022-01-21-10:50,131.14
83,2022-01-21-10:45,131.23
84,2022-01-21-10:40,131.02
85,2022-01-21-10:35,131.02
86,2022-01-21-10:30,130.36
87,2022-01-21-10:25,130.575
88,2022-01-21-10:20,130.6
89,2022-01-21-10:15,130.74
90,2022-01-21-10:10,130.62
91,2022-01-21-10:05,131.03
92,2022-01-21-10:00,131.08
93,2022-01-21-09:55,130.96
94,2022-01-21-09:50,130.92
95,2022-01-21-09:45,130.76
96,2022-01-21-09:40,130.98
97,2022-01-21-09:35,131.351
98,2022-01-21-09:30,132.0
99,2022-01-21-09:00,130.56
100,2022-01-21-08:55,130.64
101,2022-01-21-08:40,131.0
102,2022-01-21-08:30,130.85
103,2022-01-21-08:20,131.08
104,2022-01-21-08:10,130.82
105,2022-01-21-08:05,130.5
106,2022-01-21-07:55,131.25
107,2022-01-21-07:50,131.23
108,2022-01-21-07:40,131.7
109,2022-01-21-07:35,131.8
110,2022-01-21-07:05,130.75
